Page Number,Title,Description
17, Make Simple 3D Models & Toolpathing with Fusion360,"This class meets once a week (same day same time) for 2 weeks! When signing up, you are signing up for all 2 sessions.
Day 1:
This class will focus on the learning basic modeling concepts using the Fusion360 tool.  Fusion360 is a powerful and emerging tool in the modeling business that combines features found in tools targeted toward many different 3D industries.  This “many features in one tool” approach makes it a great Swiss Army Knife for general 3D practitioners.  In this class we will focus on the basic interface and create solid models through several exercises including designing our own Machinists Cube, a classic ""Hello World"" project. The class will also cover multi-part assemblies by modeling a simple box with sliding lid.
Day 2:
Introduction to Toolpathing in Fusion 360 continues down the path of feature exploration where students can expect to learn more about features of the tool for machining on popular CNC devices like the CoLab’s Tormach and ShopBot mills.  Often computer aided manufacturing (CAM) software tools are standalone products, Fusion 360 integrates those functions in to a simple-to-use interface. For those who already have CAD experience, Introduction to Toolpathing in Fusion 360 does not require prior completion of our Roots CAD classes. The instructor will demystify the world of computer aided manufacturing by leading the class through three examples of water jet cutting, CNC routing and CNC milling with CAD models provided."
17, When Pumpkins Meet Power Tools,"What more do you need to know beyond the title?? We will be carving up pumpkins with a variety of handheld power tools! We will provide the pumpkins, power tools, some non-power tools, and safety glasses. You bring your creativity and potentially clothes that aren't your very best, just in case!
To ensure everyone gets the most out of the workshop, we can only have 6 people join us at a time.  The workshop will be divided into 4 time slots of 1h between 1pm and 5pm. You will receive an email a day before the event assigning you a time slot.
 "
17, E-Textiles: Light Up Your Clothing,"Technology is all around us in our daily lives, and we augment our own senses and experiences with tech like smartphones and smart watches, but how could we integrate those electronics into our clothes?
E-Textiles I covers a basic introduction to sewing and circuitry using conductive thread and LEDs, no experience required! We'll be sewing by hand, and all materials will be provided. Each attendee will be able to bring their circuit home with them!
Kits will provide you with everything you need to make a felt bracelet with multiple LEDs. With that said, you are free to design and make anything else you may want, especially if you would prefer adding the circuits to clothing or fabric accessories you already own!"
17, Intro to Shiny,"Shiny is a package that helps you develop web pages in an R environment. Using Shiny lets people, with no knowledge of R, interact with your data, models and results on a web page. In this workshop, hosted by the Innovation Co-Lab, learn how to interactively tell your research story and migrate your important work and results in R and RStudio to the Web.
We'll also be covering the very basics of front-end development. If you don't have any front-end development experience but had some experience in R, this would be the perfect workshop for you. "
17, Epoxy Pouring: Make Your First Resin Coasters,"Popular for making everything from jewelry, to dishes, to decorating counters, and more, learn the basics of using Epoxy Resin to make beautifully expressive and unique artworks."
18, Singularity Containers,"This workshop provides researchers in the humanities, arts, and sciences an opportunity to become familiar with containerization tools, which are in wide use in the research computing world. The workshop will introduce the tools and provide hands-on experience. Researchers with software they want to package -- or ""containerize"" -- for use on the cluster or elsewhere will be able to do so. We will introduce Gitlab-CI (https://about.gitlab.com/features/gitlab-ci-cd/) and Singularity (https://sylabs.io) and tools that OIT programmers have built to automate the production of ""cluster-ready"" Singularity containers. Who should take part? Users of the Duke Compute Cluster; researchers who are using software with specific and perhaps exotic library dependencies; researchers who are using computers at other locations, including XSEDE supercomputers, Open Science Grid (OSG), or computers shared with colleagues at other institutions, researchers who want to increase the likelihood that their computational methods are transportable and reproducible. Time will be available for participants to ask questions about building their own containers."
18, High Performance Computing and the Duke Compute Cluster,"The Duke Compute Cluster (DCC) is a general purpose, high performance, Linux computing cluster with software used for a broad array of scientific projects. The DCC is made up of machines that the University has provided for community use and researchers have purchased to conduct their research. This workshop will provide Duke University researchers with a brief overview of Research Computing resources including the Duke Compute Cluster. The majority of the session will be a hands on tutorial using the Duke Compute Cluster: running interactive and batch jobs, using slurm job arrays, running multi-cre and parallel jobs, and specifying job dependencies. There is time at the end for questions and help on existing jobs.
Please note: students attending this class should already have access to the DCC. For more information on the DCC, including how to obtain access, visit: rc.duke.edu This course will be online via Zoom, link will be provided to registrants the day before the session."
18, Understanding Object Oriented Programming,"This course is designed to help give you a better understanding of objects and object oriented programming(OOP). We will use python as our tool of choice, but know that these concepts translate into other OOP languages (ruby, javscript, etc.)"
18, Introduction to Deep Learning  Models with Tensorflow,"In this workshop we will give you an introduction to deep learning. We will also introduce the popular deep learning library, Tensorflow, and describe how to build, train, and test a simple model using this framework. This is a zero-entry workshop that assumes no prior knowledge."
18, Organizing UX Research with Information Architecture & User Flows,"This class meets twice (Friday, September 29, 2023 and Friday, October 13, 2023)! You can sign up for 1 or both classes, but please note that the second class (October 13, 2023) builds upon the knowledge you will learn in the first class (September 29, 2023).
 
Learn how to organize the information you uncovered during the Discovery phase of UX research through this overview of information architecture and user flows. You will work in small groups on activities to help you practice information architecture skills. This workshop also provides information on content priorities and how to start creating user flows."
19, Validate Your Design with Usability Testing,Put your design to the test and check if your ideas make as much sense to your users as they do to you (and your team). See how usability testing is done in professional circles and learn how to apply the same methodologies to your personal projects. You will work in small groups to practice the main steps involved in usability testing.
19, Coding in Unity (C#),"Unity is popular lightweight game engine that has been used to make such hits as pokemon go, kerbal space program, and beat saber. This class builds on the ""Intro to Unity"" roots course, that is offered earlier. In this course we will delve in scripting in C# which will allow to produce projects that are interactive."
19, Intro to Illustrator,"Whether you have never opened Illustrator before or you haven’t seen its interface in a long time, this class is a great introduction to the program. This workshop will familiarize you with the different tools that you can later use to create anything from logos, to flyers, to convert rasters into vectors and so on."
19, Introduction to Lightroom,"As a beginning digital photographer, you may have recently switched from shooting images as .JPEGs to images as raw (.NEF). Everyone tells you you have so much more control over these images, but what does that mean? Using Lightroom, you will be able to control almost everything about your image: exposure, shadows, color hues and saturations, noise, and more. In this course, we will go over the basic tools in Lightroom as we edit a photograph. You can bring your own raw file or one will be provided by the instructor. 
Instructor:Elizabeth Villalta | Co-Lab Technology Education CoordinatorBefore joining the Co-Lab, Elizabeth Villalta was an elementary school teacher and instructional coach for 7 years in North Texas. She developed a love of technology while pursuing her master's degree at Southern Methodist University."
19, The Rails Framework (Combined),"This course is a combined version The Rails Framework (1/2) and The Rails Framework (2/2) Learning to build a modern web application is daunting. Ruby on Rails makes it much easier and more fun. It includes everything you need to build fantastic applications, and you can learn it with the support of our large, friendly community.
 "
20, Intro to NumPy for Deep Learning,"In this class we will introduce you to NumPy, which is a powerful Python library that is used to handle multi-dimensional arrays. NumPy is the workhorse of machine and deep learning, so a good understanding of this library is necessary to build your own models. In this class we will go over the very basics of NumPy and show you how to use it to build a simple neural network from scratch. 
No prior experience is required, and this class is open to all."
20, Introduction to Sewing: Make a Totebag,"Sewing is one of those skills that seems to be as old as times and is yet still extremely relevant. In this class, we will teach you the basics of hand sewing, as well as setting up and using a sewing machine. You will also learn some rudimentary knowledge about fabric types and how to set up edges to avoid fraying in the future or any other issue that may arise from poor fabrication.
As a bonus, you'll get to leave with your very own totebag!"
20, Co-Lab Cosplay Co-op: The Series,"This class meets once a week (same day same time) for 4 weeks! When signing up, you are signing up for all 4 sessions.
Are you a maker at heart? Have you always wanted to make an awesome prop or costume piece and just didn’t know where to start? The Co-Lab Cosplay Co-op series might just be for you! In this 4-part workshop, we’ll go through all the steps together, from planning a project to hand painting the finishing touches. At the end of the class, you’ll leave with a prop or costume piece that you’ve made from scratch! Two of these workshops are also open to take as individual Roots courses, but you’ll automatically be enrolled in the Foamsmithing and Painting & Weathering workshops.
We will supply a lot of the basic materials for each workshop, but depending on your chosen project, you may need to source your own materials.
Due to the limited time we have, you’ll need to do most of your work outside of class, and slipping behind tends to snowball. Motivation and time are necessary prerequisites for that very reason. The more you have, the bigger your project’s scope can be!
Background knowledge of sewing, sculpting, CAD, and painting would be helpful, but otherwise, there’s no experience required!"
20, Intro to Embroidery,"Whether you are into touchable art, or simply mending your pants after they ripped, you have got to try Embroidery! In this class, we will teach you the basics of the craft by first showing different stitches and their usages before making your very first embroidered art piece.
Some simple designs will be prepped in advance, but you may also come up with your own as well."
20, Encasing Materials with Epoxy (Flowers),"You have probably seen tables or jewelry made using epoxy and wood or flowers. If you agree with us that it looks amazing, then you should probably come to this class and make something just like that too! In this class, we will use resin and a mix of flowers and wood to create a piece of art."
21, Advanced Epoxy: Make a Hand Shaped Bowl,"This class meets 2 days in a row. When signing up, you are signing up for both days.
In this class, we will be taking the concept of making a shallow, flat coaster, and modify it by hand to create a bowl while the epoxy has started to harden but is still malleable.
Some knowledge of epoxy mixing and pouring is recommended but not necessary."
21, Engineering for Accessibility: Modify a Toy!,"Interested in transforming common toys into something that children with disability could use?
Join project Tadpole for this series of workshops where you will be introduced to toy accessibility. During the workshop you will learn how to solder before modifying the Little Einsteins toy by introducing a parallel button using 3D printed parts."
21, Hand Engraving with Dremels,"Laser cutters and CNC machines are cool, but sometimes you just want to control things yourself. Sometimes you want to feel the vibration of the dremel in your hands and easily switch tips to create the desired effect without having to learn a new software first.
In this workshop you will create your own engraving on a provided piece of wood. Design ideas will be provided but feel free to come up with your own."
21, 3D Printing by Hand,"Have you ever wondered how 3D printers worked? This class won't teach you this, but it will give you an idea of how filament layers create shapes which in turn create objects/things. In this workshop, you will learn about designing a skeleton first before filling out sides to create a hollow 3D shape such as a heart. No experience in modeling necessary!"
21, Advanced Arduino: Using Bluetooth & Wifi,Description to be added
22, Sketching a Project,Come to this workshop to learn how to draw a sketch (or basic wireframe) for a web or mobile project.
22, Executing a Project Sketch in Figma,"Did you come to our Sketching a Project workshop? Or, did you make a paper wireframe recently and would like to execute it in Figma, a well known wireframing/prototyping ui/ux app? This is the class for you! Join us as our instructor walks you through recreating a design in Figma."
22, Illustrations with Illustrator,"Are you an artist? Are you into graphic design? Do you want to make art using Illustrator? Welcome to the Illustrations with Illustrator workshop! In this class we will learn how to make icons as well as simple vector illustrations using Illustrator.
Some knowledge of Illustrator is highly recommended!"
22, Foamsmithing,"This is the only Roots class that readies you for encounters with foam-wielding forearm-targeting brigands! In this workshop, we’ll build a bracer out of EVA foam. Foamsmithing doesn’t require the heat of a forge, but heat guns will make the foam pliable. Contact cement will give us a weld stronger than steel (not really), and craft foam and foam clay will be perfect for any small details! Once you’ve built a piece of foam armor, you’ll be armed with all the knowledge you need to construct a convention-ready battle suit.
 "
22, Co-Lab Cosplay Co-op: Painting and Weathering,"This class is taught in conjunction with the Co-Lab Cosplay Co-op: The Series. 
If you’re signed up for that series of workshops, you’re automatically part of this one!
Have you ever looked at a 3D print and thought that it’d be a lot cooler if it didn’t look like PLA? Do you have some pristine foam armor and wish it looked a bit more dirty and grungy? Have you ever thought that your hobbies would be more fun if you were covered in paint? If so, the Co-Lab Cosplay Co-op has just the thing for you!
In this workshop, we’ll turn boring primed 3D prints into much more exciting painted 3D prints! Get ready to get hands-on with different paints, waxes, brushes, and other exciting words! After this class, you’ll never leave your 3D prints unpainted again!*
*not really
 "
23," Hacking the Juice Shop, Part I","Do you want to learn more about ethical hacking and cybersecurity, but don’t know where to start? Look no further than the Juice Shop Workshop Series, designed to maximize fun, learning, and overall life satisfaction!
In this series of workshops, we will explore a special web application known as The Juice Shop. It looks and behaves like a real online store where you can buy juice, including apple, carrot, and even banana juice! However, the application contains a vast number of vulnerabilities that it’s our job to exploit. Each participant’s progress with the hacking challenges is tracked on a score board hidden within the application. Finding this score board is actually one of the first hacking challenges!

Workshop I
The first part of of the series will introduce students to the following topics:

Inspecting and manipulating the HTML and CSS of a displayed website 
Using the browser developer tools to explore the app's source code and network requests/responses
Exploiting improper input validation
XSS attacks (cross-site scripting)

You will get the most out of this workshop if you have some familiarity with web development (HTML, Javascript), but this knowledge is not required.
We will alternate between guiding participants through a solution to a challenge and giving participants time to tackle a challenge on their own. Don’t worry if you can’t solve a challenge—you will learn loads in the process, and we will explain the solutions to all challenges we explore before the conclusion of the workshop.
 
Come for the juice1, stay for the hacking!
1 no actual juice will be provided"
23, Creating XR Experiences with Unity,"This course will discuss Unity's ""XR Interactive Toolkit"", which lets us easily create XR experiences in Unity that can work across different headset manufacturers (e.g. Vive, Meta). Using the headsets in the MPS, we will learn how to use the toolkit to do common VR tasks such as: making objects ""grabbable"" and allowing locomotion (e.g. teleportation). The course will begin with an overview of XR concepts and hardware."
23, Make Your Own Solar Lamp,"The current threat posed by climate change calls for a profound rethinking of our use of technology and natural resources. Low Tech proposes a more sustainable, inclusive, and convivial approach to empower the individual to fight climate change and build a more desirable future for everybody. For instance, this approach aims at moving from a linear to a circular economy, where waste is reused and, ultimately, non-existent by design.
In this workshop, we will focus on the example of electronics recycling and learn how to reuse some of our everyday electrical devices to keep them out of landfills. Namely, you will learn how to reuse your old laptop batteries to build a solar lamp/charger.
The batteries will be provided in partnership with Triangle Ecycling, as well as the electronic components. That said, feel free to contact the organizers if you have an old laptop that you intend to recycle (modern batteries cannot be reused easily).
Apart from the electronic circuit, the design of the lamp will depend on the user. From a romantic interior design to a waterproof outdoor design, this is the occasion to reuse an old plastic or wooden box for instance (think lantern or Moroccan lamps e.g.). While the esthetics of the lamp won’t be the focus of this 2-hour workshop, participants are encouraged to participate to a follow-up workshop, to make the most of Co-Lab’s manufacturing tools."
23, Make Killer YouTube Intros with After Effects,A beginners guide to making professional looking video introductions using Adobe After Effects and motion graphics.
23, How to Use the Laser Cutter,This is a one-pager that reviews how to use a laser cutter. Access the one-pager here. 
24, Make Your Own Card with the Cricut,"Does anything warm your heart more than receiving a greeting card (or greeting cards, plural) in the mail? In this activity, you will learn how to make a card using the Cricut. You can create card with cut-outs, pop-out effect, or even embossing. "
24, Embroidery with River Takada,Join River Takada for an Introduction to hand stitching embroidery with western and eastern influences. Students will be guided through the basic techniques of hand stitching using a variety of supplies. River will share her tried and true tips and tricks from her 20+ years of sewing. All levels welcome.
24, Zines,"Zines have an extensive history as a medium of choice for marginalized voices, outcasts, and countercultures. The format—unencumbered by rules relating to form, function, or purpose—allows makers to share their voices without feeling they can’t afford it or that there isn’t an audience for their stories, and to find the approach that best expresses their unique self. In this hands-on workshop, Durham artist Sean Graham(@badcat.studio) will teach some zine construction basics and share some approaches for telling your unique story in zine form."
24, Contemporary Dance Flow,"

This class focuses on exploring the fundamentals of contemporary dance techniques in a fun and supportive environment. Students will work to hone their body awareness, alignment, and musicality through combinations that encourage flexibility, balance, coordination, and flow. Open to movers of all experience levels, backgrounds, and identities. Participants should wear comfortable clothes that allow freedom of movement and can dance in socks or barefoot.

"
24, Introduction to Screen Printing,"This two-hour workshop will cover the basics of putting images on screens (making a stencil), ink mixing, and how to effectively use a squeegee to get ink through the screen and print multiple copies of an image. The focus is on printing on paper (which is essentially the same process as printing on t-shirts). Everyone will get many chances to print, and you’ll have a deluxe, one-of-a-kind, two-color poster to take home! This course is a prerequisite for using the space; after the workshop everyone who attends the class will be on the ""approved printers"" list and can use the Duke Annex Print Studio at will. "
25, Embroidery on Photos,"In this class, we'll practice using embroidery on paper to highlight the natural beauty of vintage photographs and create a new piece of art. You'll learn the basics of embroidery and how to use the practice on materials other than fabric. We'll have materials you can work with, or you can bring your own photos!"
25, Painting with Hweyon Grigoni,"A landscape painting can draw you into a space in a special way. In this 2-hour workshop, we will look at various types of landscapes, and then create our own acrylic painting to take home. We’ll paint together with some loose guidelines- you will choose your own palette, mood and scene. This is a no pressure workshop for people of any ability. All supplies provided, feel free to bring photos of your own inspiration."
25, Journaling,"In this 2-hour workshop, we’ll cover the basics of journaling. Up your journaling game! Our instructor Hyewon Grigoni has worked as an artist and art teacher for many years. She enjoys elevating low brow art forms into exquisite yet accessible pieces, and believes it’s never too late to nurture one’s creative needs or become an artist."
25, Needle Felting,"



Get some aggression out by stabbing things until they’re cute! In this workshop we will go over the basics of needle felting, introducing the tools, techniques, and project opportunities for this craft. Make a tiny critter, cat toy, or portrait using colored wool and specialized needles. Taught by Amber Mooers.



"
25, Artist In Residency Workshop with Rob Swainston,"A collaboration between The Innovation Co-Lab and Duke Arts brings Artist Rob Swainston in residence at the Rubenstein Arts Center.  Join us for this in-depth workshop where we'll explore Swainston's artistic practice and get hands-on with the tools and methods he uses to produce large scale prints.  Rob will demonstrate how to utilize photoshop channels to plan multi-color prints, as well as how to build toolpaths and cut-files to interface with the ShopBot CNC.  
Rob's practice combines digitial processes with tradtional printmaking techniques in works that span painting, sculpture, video and installation.  During the residency, Rob will engage the Duke community, centering the Innovation Co-Lab Studio at the Ruby with a number of projects and demonstrations.  Through this project, Rob will demonstrate how the ShopBot Computer Numeric Controller (CNC) router at the Innovation Co-Lab Studio at the Ruby can be employed to make relief prints.  Beyond this workshop, members of the Duke Community are invited to join Rob during his week at the Ruby to assist and observe his work, as well as join an Artist Talk at the Ruby on Tuesday, March 7 at 5pm."
26, Wire Sculpture,"



In this workshop, participants will basic wire wrapping techniques. They will have an option to create a free standing sculpture or a piece they can hang on the wall. No prior experience necessary.



"
26, Musical Theater Dance Workshop - Beetlejuice themed!,"In this DukeCreate workshop we will prepare our mind, body, and spirit with a heart-pumping, smile-inducing jazz dance warm-up before learning iconic fosse-style moves and choreography from the Chicago movie. This class is a sweaty and totally judgment-free zone for ALL levels of dancers. Calling all lovers of musicals and movies and Beetlejuice! Let’s dance!"
26, Epoxy Resin Finishing,"You’ve been to the workshop(s). You’ve mixed the A & B. You’ve added colors and sparkles and even encased a thing or two… or three. What now?  For the first time, join us as we learn how to FINISH our epoxy resin creations. From light sanding, to edge work, top coating and other embellishments, learn how to take your cured creations to the next level. "
26, The Rosetta Circle Student Q&A,"Duke students are invited to join the five performers of The Rosetta Circle, presented by Duke Performances, for an open rehearsal and Q&A. These leading female voices in American music – Adia Victoria, Rissi Palmer, Shirlette Ammons, Shana Tucker and Tift Merritt – are working on a revolutionary new project meant to continue the work and spirit of pioneering feminist jazz historian Rosetta Reitz. This performance pilot will provide an intimate glimpse into an ambitious project in its early stages."
26, Yoga with Courtney Liu,"Feeling stressed and scattered? Join Courtney Liu (Duke alum, professional dancer, yoga instructor) for a yoga class customized to reduce tension, ease fatigue, and increase concentration and flow during finals. You'll leave feeling refreshed and ready to finish the semester strong!
Courtney Liu is a Duke alum (Trinity 2013, Psychology), professional dancer, ballet teacher, yoga instructor, and part of the inaugural cohort of Duke’s new M.F.A. in Dance. She has taught ballet nationally and internationally for the past 12 years and currently serves as a faculty member and/or guest instructor at Chapel Hill School of Ballet, Durham School for Ballet and the Performing Arts, Nina’s School of Dance, and Walltown Children’s Theater.  She earned her RYT-200 yoga certification when she was a junior at Duke and has taught for New York Yoga and Duke Fitness and Recreation."
27, Code+ Env Setup,"Get your environment set up for Code+ success including VS Code, Git SSH keys and more. Please make sure to bring you laptop to the session"
27, Jupyter,"Jupyter is a web-based interactive environment for creating and sharing unique computational documents, known as notebooks. Jupyter notebooks can incorporate and execute code from various programming languages alongside text, images, graphics, and computational output. In this course, you will learn how to create, edit, and run Jupyter notebooks locally and in various cloud environments.
Additionally, the course will cover popular tools and libraries that help convert Jupyter notebooks into interactive websites, including Bokeh, Voilà, and Panel.
The course is predominantly hands-on and requires some familiarity with Python programming. By the end of the course, you will have a solid understanding of Jupyter Notebooks and the skills to transform them into powerful and interactive websites."
27, Garden Printing,"Visitors to Duke Campus Farm can come take a tour of the space, learn more about what is grown and why, and choose from a number of plants from the garden to experiment with two printing techniques that highlight the shape and color of fresh produce and flowers.  With cyanotype printing, we will use either the plant as a silhouette to make sun prints using UV light, or make use of parts of the plants to create a composition on the blue-tinted paper.  For the second experimentation, plants and flowers will be directly pressed onto fabric. Using hammers and small mallets, we will hammer and press the pigments from the flowers directly onto cotton fabric tote bags. 
This workshop is open to everyone and is family friendly! We are excited to serve our Duke community with a summer class as well as welcome the entire Durham community.
Registration is encouraged but not required. Only Duke users will be able to register through Pathways. If you are not a Duke user, you are not required to register. If you are concerned about having drop-in access to the class, please email anna.wallace@duke.edu for confirmation. Instruction will run between 3-5, drop-ins and walk-ins welcome. "
27, Game of Sticks: Python and Basic Machine Learning,"Are you ready to learn the basics of Machine Learning in a fun and interactive way? Then our “Game of Sticks” Workshop is perfect for you! Using Python, you’ll compete against a ""friend"" or a bot as you pick up and drop sticks until the last player standing is declared the winner! Along the way, you’ll learn basic Machine Learning techniques. Discover the power of machine learning and pick up sticks doing it (you will not physically pick up any sticks)! This description was generated using not so basic machine learning.
This workshop is for those who want to keep learning fundamental python whil being introduced to entry level machine learning. "
27, Stained Glass on the Waterjet,"Stained Glass is a beautiful craft that`s been around in many forms, from painted clear glass in lead came to tinted and textured glass held with foil and solder. However, this gets a lot easier when we introduce technology! In this Roots class, we’ll be doing a hybrid version of stained glass that’ll look as good as the traditional method while reducing the amount that needs to be done by hand. Once you’ve completed this class, you should be equipped with the skills and knowledge to approach this craft on your own!"
28," Props, Paint, and 3D Prints","In this workshop, we’ll learn how to finish 3D Prints, from sanding and scraping techniques to priming and painting. Afterwards, your prints won’t look like they’re made of PLA at all. Get ready to get hands-on with different paints, waxes, brushes, and other exciting words! After this class, you’ll never leave your 3D prints unpainted again!*
*not really”"
28," Hacking the Juice Shop, Part II","Do you want to learn more about ethical hacking and cybersecurity, but don’t know where to start? Look no further than the Juice Shop Workshop Series, designed to maximize fun, learning, and overall life satisfaction!
In this series of workshops, we will explore a special web application known as The Juice Shop. It looks and behaves like a real online store where you can buy juice, including apple, carrot, and even banana juice! However, the application contains a vast number of vulnerabilities that it’s our job to exploit. Each participant’s progress with the hacking challenges is tracked on a score board hidden within the application. Finding this score board is actually one of the first hacking challenges!

Workshop II
The second part of of the series will introduce students to the following topics:

Interacting with the application's API without using the frontend
Exploiting broken access controls
Injection attacks
Persisted XSS attacks

You will get the most out of this workshop if you have either taken Part I of this workshop series or are familiar with using the developer tools in a web browser, but neither is required to attend. 
 
Come for the juice1, stay for the hacking!
1 no actual juice will be provided"
28," Hacking the Juice Shop, Part III","Do you want to learn more about ethical hacking and cybersecurity, but don’t know where to start? Look no further than the Juice Shop Workshop Series, designed to maximize fun, learning, and overall life satisfaction!
In this series of workshops, we will explore a special web application known as The Juice Shop. It looks and behaves like a real online store where you can buy juice, including apple, carrot, and even banana juice! However, the application contains a vast number of vulnerabilities that it’s our job to exploit. Each participant’s progress with the hacking challenges is tracked on a score board hidden within the application. Finding this score board is actually one of the first hacking challenges!

Workshop III
The third part of of the series will explore the following topics:

Intermediate SQL injection attacks
Cryptographic vulnerabilities

You will get the most out of this workshop if you have either taken Part I and Part II of this workshop series, or are familiar with using the developer tools in a web browser and interacting directly with API's using a tool like Insomnia or Postman. However, neither is required to attend and all are welcome!
 
Come for the juice1, stay for the hacking!
1 no actual juice will be provided"
28, Mindful Watercolor,"Relax and engage in the magic of mindful watercolor painting! Participants will learn a variety of different experimental and texture building techniques, then play with the materials and create paintings that don’t require realism. After one mindful warmup painting, folks will be able to experiment and create work that can be meditative in practice, and/or meditative to view! Supplies are provided."
28, Visible Mending,"Upcycle and repair your textile goods. Visible mending is an ornamental approach to repairing an item. Rather than trying to mask the area where the item was damaged, the goal is to highlight these imperfections in a creative, eye-catching way. Learn hand stitching tips and techniques to repair your favorite clothing items. Bring an item to repair."
29, Weaving,"Students will be provided with a mini loom and selection of yarns. Together we will work through some simple weaving stitches and create something decorative.
Instructor Amelia Shull is a multidisciplinary artist, musician, and educator whose current practice centers on healing, mending, and creative reuse. Her most recent work explores various media and methods, including printmaking, handcrafts, sewing, and garment design.
Amelia has loved teaching drawing, painting, design, weaving, printmaking, photography, fiber arts, portfolio development, music, and more for over 20 years.  She’s a founder of Girls Rock NC, and is an aspiring herbal tea gardener and potion maker.
https://www.instagram.com/amelioratemakes/"
29, Day of the Dead Series: Building a Remembrance to Our Lives,"A workshop to remember those who remain in our memories. Together we will create a space to celebrate the life. 
Instructor Luis MacKinney was born in Mexico City and spent his childhood and adolescence in the municipality of Ecatepec in the State of Mexico. He studied International Relations with a specialty in Diplomacy and Foreign Policy. In collaboration with writers, photographers, and artists, he is helping to lead the first exhibition of Mexican artists in the city of Hillsborough starting August 26, 2022. The work of Luis MacKinney pushes geographic, color, and cultural boundaries. Self-taught, he innovates with each piece to immerse viewers in a unique concept of art. The artist believes in the power of art to remark on the most important aspects of human existence. With his art, MacKinney goes beyond the strokes to infuse each canvas with emotions, believing that art is a universal way of expressing what one feels. "
29, Day of the Dead Series: Exploratory Día de Los Muertos Acrylic Painting Workshop,"This workshop will explore what Día de Los Muertos means to us! By the end of the workshop, you will create an acrylic painting. No painting experience is required. 
Instructor Antonio Alanís is an artist and educator living in Durham, North Carolina. His immigrant background, personal history, and education inspired him to explore themes such as social justice, identity, and immigration in North Carolina. He believes the visual arts are integral to promoting cultural awareness about Hispanic/Latinx people in the United States.  
https://www.antonioalanisart.com/"
29, Preparing a Web Project,"Web projects are like any project, if you plan for it, you are much more likely to save yourself time and headaches than if you do not. Planning for a web project involves several steps, from figuring out the scope of the project, the stack you’ll be using to potentially designing a brand guide, making a sitemap and wireframe, and of course, setting up all the variables you may need in your CSSfile. In this workshop, we will walk through every step using an example project before putting our newfound knowledge to the test with an exercise.
Prior HTML/CSS (and design) knowledge will be very helpful but is not necessary to follow."
29, Finding Resources for the Web: A Crash Course,"Maybe you’ve already worked on a few websites before, maybe you haven’t. Either way, if you are not sure where to find the best free resources for your project, from where to find icons/images to great instructional websites and videos, this is the workshop for you! We will go over different resources as well as why you should care about where the assets you use come from. No prior experience necessary!"
30, Repurposing and Debugging HTML/CSS Code,"Sometimes we are not sure how to get a specific effect in our HTML/CSS project. If we know how to search for an example, that is half of the battle won! The other half of the battle is to use that code, or in other words, repurpose it for our project. Indeed, your code base may be a bit different from that of the example you found and thus to make it work, you will need to adapt it for your needs. Repurposing, just like debugging, starts by understanding how the code works the way it does and why. In this workshop, we will go over a repurposing example as well as methodologies for debugging CSS. Prior basic knowledge of HTML and CSS is highly encouraged as we will not go over those."
30, Web Project: Portfolio I,"It is time to take your basic HTML/CSSknowledge and use it for something that will help you in life: a Portfolio website. Regardless of your background, having a place to display your work/research is a great way to show future employers what they’d gain in hiring you. In this workshop, we will start the project by discussing what should and shouldn’t be included into a portfolio site and go through the preparation of the portfolio (sitemap) before setting up the project using VS Code. Keep in mind, you will not be able to finish the entire project in this session or the next, but we will be able to get you started on a good foundation for you to finish on your own time."
30, Web Project: Portfolio II,"In this second installment of the Portfolio workshop, we will continue to work on coding our portfolio. Our goal is to complete one page within this session. If you do not have prepared content (copy and images), you will be provided with resources for placeholder content. This session will be more of working session during which each participant will be able to ask questions and get help for their personal project. A ready-made, previously coded portfolio will be provided as reference for the duration of the workshop."
30, No Code Web Development: Intro to Webflow,"Need to make a website quickly but don’t know how to code and don’t have time or desire to learn? You may want to investigate site building websites such as Webflow, Squarespace or Wix. Webflow is the most complex to use, but also offers the most customization possible. Webflow uses real HTML, CSS and JavaScript syntax and set up making it the closest to a regular website building experience without having to know HTML, CSS or JS. In this workshop we will walk through using the platform for a simple one-page site. No prior experience necessary."
30, Day of the Dead Series: Calaveras Alebrijes,"""During this workshop the students will learn about the importance of the calaveras in the ofrenda for the Day of the Dead as well as the function of the Alebrijes in the Altar.  We will paint a 5 inches rock like a Calavera and will decorated following the designs used for Mexican artisans to paint alebrijes."""
31, The Art of Noticing: Field Notes in Nature,"In this workshop, participants will explore the beauty of the plants, bugs, and surroundings of the Duke Campus Farm, and learn to document their observations in words and sketches. Whether you are a budding bird or bug watcher, seasoned nature lover, or have never given a thought to keeping a nature journal, The Art of Noticing workshop will help you hone skills to become a careful observer to the natural world.  Workshop leaders will guide you through a hands on experience in both plein air sketching and nature journaling, and hopefully set you off on a journey to a new way of noticing the world around you beyond the Duke Campus Farm. All attendees will receive a field note book to use and take home.
*This will be a community workshop open to all. Non-Duke users, please email anna.wallace@duke.edu to reserve your space. "
31, The Concern Zines - DuWell series,"""A zine is a self-published, non-commercial magazine, typically devoted to unconventional subject matter. In this two-hour workshop, students will learn zines by making one. Using collage and drawing materials, participants will create pages for a zine on the topic of preserving one’s spirit.  Participants will want to think about what keeps up their spirits when times are hard. Students will leave their creation to be printed and can pick their zine up at a later date.  The spirit zine could inspire others to find ways to feel better.""
LOCATION: Rubenstein Library Room 349"
